,year,area,production,AvgRain,AvgTemp,district_encoded,crop_encoded,season_encoded
379,2000,2000,130000,22.84083333,27.435,2,18,2
380,2006,29000,137000,43.10666667,26.76416667,2,3,0
381,2003,3000,170000,37.48166667,26.46666667,2,18,2
382,1998,82000,246000,23.385,27.16416667,2,16,0
383,2002,5000,260000,22.02416667,27.93333333,2,18,2
384,2001,70000,267000,32.3675,27.11625,2,16,0
385,2002,86000,280000,22.02416667,27.93333333,2,16,0
386,1999,90000,305000,19.7675,27.97625,2,16,0
387,2003,84000,308000,37.48166667,26.46666667,2,16,0
388,2000,90000,310000,22.84083333,27.435,2,16,0
389,2004,88000,337000,31.17583333,27.50583333,2,16,0
390,2006,85000,338000,43.10666667,26.76416667,2,16,0
391,2005,86000,339000,40.05083333,26.1,2,16,0
392,2001,4000,350000,32.3675,27.11625,2,18,2
393,2007,87000,351000,36.405,26.8725,2,16,0
394,2010,101000,409000,41.98083333,26.90458333,2,16,0
395,2009,98000,414000,29.8275,27.00041667,2,16,0
396,2008,95000,414000,56.525,25.96291667,2,16,0
397,2012,102000,444000,33.44083333,26.00541667,2,16,0
398,2003,114000,461000,37.48166667,26.46666667,2,21,1
399,2002,112000,474000,22.02416667,27.93333333,2,21,1
400,2009,117000,481000,29.8275,27.00041667,2,21,1
401,1998,110000,482000,23.385,27.16416667,2,21,1
402,2005,116000,483000,40.05083333,26.1,2,21,1
403,2006,117000,484000,43.10666667,26.76416667,2,21,1
404,2004,114000,487000,31.17583333,27.50583333,2,21,1
405,2001,111000,496000,32.3675,27.11625,2,21,1
406,2007,117000,509000,36.405,26.8725,2,21,1
407,1999,112000,522000,19.7675,27.97625,2,21,1
408,2000,111000,524000,22.84083333,27.435,2,21,1
409,2008,118000,550000,56.525,25.96291667,2,21,1
410,2012,117000,553000,33.44083333,26.00541667,2,21,1
411,2010,117000,563000,41.98083333,26.90458333,2,21,1
412,2006,100,100,51.31083333,26.45958333,3,0,0
413,2009,100,100,49.95833333,26.36416667,3,0,0
414,1998,100,100,47.61583333,26.00708333,3,10,1
415,2000,100,100,53.16583333,26.38208333,3,4,1
416,2000,100,100,53.16583333,26.38208333,3,13,1
417,2001,100,100,49.18416667,26.37166667,3,4,1
418,2001,100,100,49.18416667,26.37166667,3,10,1
419,2001,100,100,49.18416667,26.37166667,3,15,1
420,2002,100,100,40.61083333,27.21166667,3,4,1
421,2002,100,100,40.61083333,27.21166667,3,10,1
422,2003,100,100,63.49083333,25.7175,3,10,1
423,2004,100,100,52.715,26.535,3,10,1
424,2002,200,200,40.61083333,27.21166667,3,0,0
425,2003,200,200,63.49083333,25.7175,3,0,0
426,2004,200,200,52.715,26.535,3,0,0
427,2005,200,200,53.77583333,25.74166667,3,0,0
428,2008,200,200,95.92416667,24.92833333,3,0,0
429,1998,400,300,47.61583333,26.00708333,3,0,0
430,2000,300,300,53.16583333,26.38208333,3,0,0
431,1999,400,400,33.88083333,27.225,3,0,0
432,2001,300,400,49.18416667,26.37166667,3,0,0
433,2009,1000,1000,49.95833333,26.36416667,3,1,0
434,1998,1000,1000,47.61583333,26.00708333,3,15,1
435,1999,1000,1000,33.88083333,27.225,3,15,1
436,2002,1000,1000,40.61083333,27.21166667,3,15,1
437,2003,1000,1000,63.49083333,25.7175,3,15,1
438,2005,1000,1000,53.77583333,25.74166667,3,15,1
439,2006,1000,1000,51.31083333,26.45958333,3,15,1
440,2007,1000,1000,48.4525,26.35916667,3,15,1
441,2009,200,1500,49.95833333,26.36416667,3,18,2
442,2008,2000,2000,95.92416667,24.92833333,3,1,0
443,1998,1000,2000,47.61583333,26.00708333,3,9,0
444,2004,1000,2000,52.715,26.535,3,15,1
445,2012,1000,2000,45.86166667,25.75541667,3,15,1
446,2012,1000,2200,45.86166667,25.75541667,3,19,1
447,1999,1000,3000,33.88083333,27.225,3,9,0
448,2000,1000,3000,53.16583333,26.38208333,3,9,0
449,2001,1000,3000,49.18416667,26.37166667,3,9,0
450,2002,1000,3000,40.61083333,27.21166667,3,9,0
451,2003,1000,3000,63.49083333,25.7175,3,9,0
452,2007,1000,3000,48.4525,26.35916667,3,9,0
453,2009,1000,3000,49.95833333,26.36416667,3,9,0
454,1998,1000,3000,47.61583333,26.00708333,3,2,1
455,2000,1000,3000,53.16583333,26.38208333,3,2,1
456,2001,1000,3000,49.18416667,26.37166667,3,2,1
457,2002,1000,3000,40.61083333,27.21166667,3,2,1
458,2004,1000,3000,52.715,26.535,3,2,1
459,2004,1000,4000,52.715,26.535,3,9,0
460,2006,1000,4000,51.31083333,26.45958333,3,9,0
461,2008,1000,4000,95.92416667,24.92833333,3,9,0
462,1999,1000,4000,33.88083333,27.225,3,2,1
463,2012,11700,10000,45.86166667,25.75541667,3,6,2
464,2004,2000,14000,52.715,26.535,3,18,2
465,2005,2000,14000,53.77583333,25.74166667,3,18,2
